file,S47_PH1:SYB_SNARE,S47_PH1:S47_SNARES,S47_PH1:STX3_SNARE,S47_PH1:S47_PH2,S47_PH2:SYB_SNARE,S47_PH2:S47_SNARES,S47_PH2:STX3_SNARE
fold_tertiary_45_model_0.cif,0,20.1,301.33,0,8.15,74.98,0
fold_tertiary_46_model_0.cif,0,89.69,422.49,603.28,212.12,0,202.1
fold_tertiary_47_model_0.cif,0,102.63,410.62,597.82,244.42,0,251.66
fold_tertiary_48_model_0.cif,0,31.16,324.42,624.5,304.3,0,236.03
fold_tertiary_4_model_0.cif,0,4.06,265.75,310.3,13.05,0,432.11
fold_tertiary_5_model_0 copy.cif,0,86.77,338.6,652.45,159.59,0,247.66
fold_tertiary_5_model_0.cif,0,68.6,431.02,570.85,228.35,0,213.52
fold_tertiary_7_model_0.cif,0,101.88,389.49,607.3,220.53,0,311.08
fold_tertiary_8_model_0.cif,0,80.94,463.32,602.75,214.59,0,225.17
fold_tertiary_9_model_0.cif,0,61.44,332.39,597.71,252.16,0,278.68
fold_2025_04_11_15_15_rt_s47_stx3_syb2_1_model_0.cif,0,51.3,275.01,34.08,70.13,203,291.39
fold_2025_04_11_15_15_rt_s47_stx3_syb2_2_model_0.cif,0,37.28,350.24,697.7,306.02,0,245.41
fold_2025_04_11_15_16_rt_s47_stx3_syb2_3_model_0.cif,0,69.86,310.86,612.05,209.34,0,284.5
fold_2025_05_19_12_01_rt_s47_stx3_syb2_10_model_0.cif,0,22.98,279.86,0,45.7,139.54,0
fold_2025_05_19_12_01_rt_s47_stx3_syb2_11_model_0.cif,0,0,313.98,490.87,0,41.57,42.15
fold_2025_05_19_12_01_rt_s47_stx3_syb2_12_model_0.cif,0,62.03,322.7,605.39,229.08,0,261.43
fold_2025_05_19_12_01_rt_s47_stx3_syb2_13_model_0.cif,0,61.69,370.95,636.99,219.81,0,292.86
fold_2025_05_19_12_01_rt_s47_stx3_syb2_4_model_0.cif,0,79.78,360.12,610.24,249.57,0,264.31
fold_2025_05_19_12_01_rt_s47_stx3_syb2_5_model_0.cif,0,53.46,350.53,686.61,235.44,0,246.3
fold_2025_05_19_12_01_rt_s47_stx3_syb2_6_model_0.cif,0,68.46,337.99,619.1,215.15,0,256.42
fold_2025_05_19_12_01_rt_s47_stx3_syb2_7_model_0.cif,0,62.93,328.71,636.15,230.6,0,268.99
fold_2025_05_19_12_01_rt_s47_stx3_syb2_8_model_0.cif,17.97,4.63,330.44,361.01,88.64,264.45,316.43
fold_2025_05_19_12_01_rt_s47_stx3_syb2_9_model_0.cif,0,10.38,352.43,541.67,0,0,96.42
fold_2025_05_19_12_02_rt_s47_stx3_syb2_14_model_0.cif,0,149.68,342.89,0,192.27,200.45,0
fold_2025_05_19_12_02_rt_s47_stx3_syb2_15_model_0.cif,0,66.95,311.3,605.88,234.54,0,276.87
fold_2025_05_19_13_21_rt_s47_stx3_syb2_16_model_0.cif,0,60.45,409.17,613.32,237.88,0,209.68
fold_2025_05_19_13_21_rt_s47_stx3_syb2_17_model_0.cif,0,52.84,373.23,654.45,240.2,0,242.12
fold_2025_05_19_13_22_rt_s47_stx3_syb2_18_model_0.cif,0,12.94,297.54,145.22,104.11,142.02,393.29
